ibge,uf,region
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270010,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,ND
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270020,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,ND
270030,AL,ND
270030,AL,ND
270030,AL,ND
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270030,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,ND
270040,AL,ND
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270040,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,
270050,AL,ND
270050,AL,ND
